Date,Holiday,WeekDay,Month,Day,Year
7/3/21,Before 4th of July,Saturday,7,3,2021
7/5/21,After 4th of July,Monday,7,5,2021
9/5/21,Before Labor Day,Sunday,9,5,2021
9/7/21,After Labor Day,Tuesday,9,7,2021
10/10/21,Before Columbus Day,Sunday,10,10,2021
10/12/21,After Columbus Day,Tuesday,10,12,2021
11/10/21,Before Veterans Day,Wednesday,11,10,2021
11/12/21,After Veterans Day,Friday,11,12,2021
11/24/21,Before Thanksgiving Day,Wednesday,11,24,2021
11/26/21,After Thanksgiving Day,Friday,11,26,2021
12/23/21,Before Christmas Eve,Thursday,12,23,2021
12/24/21,Christmas Eve,Friday,12,24,2021
12/26/21,After Christmas Day,Sunday,12,26,2021
12/30/21,Before New Years Eve,Thursday,12,30,2021
12/31/21,New Years Eve,Friday,12,31,2021
1/2/22,After New Years Day,Sunday,1,2,2022
1/16/22,Before Martin Luther King,Sunday,1,16,2022
1/18/22,After Martin Luther King,Tuesday,1,18,2022
2/13/22,Before Valentines Day,Sunday,2,13,2022
2/15/22,After Valentines Day,Tuesday,2,15,2022
2/20/22,Before Washington Birthday,Sunday,2,20,2022
2/22/22,After Washington Birthday,Tuesday,2,22,2022
4/16/22,Before Western Easter,Saturday,4,16,2022
4/18/22,After Western Easter,Monday,4,18,2022
4/23/22,Before Eastern Easter,Saturday,4,23,2022
4/25/22,After Eastern Easter,Monday,4,25,2022
5/29/22,Before Memorial Day,Sunday,5,29,2022
5/31/22,After Memorial Day,Tuesday,5,31,2022
6/19/22,Before Juneteenth,Sunday,6,19,2022
6/21/22,After Juneteenth,Tuesday,6,21,2022
7/3/22,Before 4th of July,Sunday,7,3,2022
7/5/22,After 4th of July,Tuesday,7,5,2022
9/4/22,Before Labor Day,Sunday,9,4,2022
9/6/22,After Labor Day,Tuesday,9,6,2022
10/9/22,Before Columbus Day,Sunday,10,9,2022
10/11/22,After Columbus Day,Tuesday,10,11,2022
11/10/22,Before Veterans Day,Thursday,11,10,2022
11/12/22,After Veterans Day,Saturday,11,12,2022
11/23/22,Before Thanksgiving Day,Wednesday,11,23,2022
11/25/22,After Thanksgiving Day,Friday,11,25,2022
12/23/22,Before Christmas Eve,Friday,12,23,2022
12/24/22,Christmas Eve,Saturday,12,24,2022
12/26/22,After Christmas Day,Monday,12,26,2022
12/30/22,Before New Years Eve,Friday,12,30,2022
12/31/22,New Years Eve,Saturday,12,31,2022
1/2/23,After New Years Day,Monday,1,2,2023
1/15/23,Before Martin Luther King,Sunday,1,15,2023
1/17/23,After Martin Luther King,Tuesday,1,17,2023
2/13/23,Before Valentines Day,Monday,2,13,2023
2/15/23,After Valentines Day,Wednesday,2,15,2023
2/19/23,Before Washington Birthday,Sunday,2,19,2023
2/21/23,After Washington Birthday,Tuesday,2,21,2023
4/8/23,Before Western Easter,Saturday,4,8,2023
4/10/23,After Western Easter,Monday,4,10,2023
4/15/23,Before Eastern Easter,Saturday,4,15,2023
4/17/23,After Eastern Easter,Monday,4,17,2023
5/28/23,Before Memorial Day,Sunday,5,28,2023
5/30/23,After Memorial Day,Tuesday,5,30,2023
6/18/23,Before Juneteenth,Sunday,6,18,2023
6/20/23,After Juneteenth,Tuesday,6,20,2023
7/3/23,Before 4th of July,Monday,7,3,2023
7/5/23,After 4th of July,Wednesday,7,5,2023
9/3/23,Before Labor Day,Sunday,9,3,2023
9/5/23,After Labor Day,Tuesday,9,5,2023
10/8/23,Before Columbus Day,Sunday,10,8,2023
10/10/23,After Columbus Day,Tuesday,10,10,2023
11/9/23,Before Veterans Day,Thursday,11,9,2023
11/11/23,After Veterans Day,Saturday,11,11,2023
11/22/23,Before Thanksgiving Day,Wednesday,11,22,2023
11/24/23,After Thanksgiving Day,Friday,11,24,2023
12/23/23,Before Christmas Eve,Saturday,12,23,2023
12/24/23,Christmas Eve,Sunday,12,24,2023
12/26/23,After Christmas Day,Tuesday,12,26,2023
12/30/23,Before New Years Eve,Saturday,12,30,2023
12/31/23,New Years Eve,Sunday,12,31,2023
1/2/17,After Weekend,Monday,1,2,2017
1/6/17,Before Weekend,Friday,1,6,2017
1/9/17,After Weekend,Monday,1,9,2017
1/13/17,Before Weekend,Friday,1,13,2017
1/16/17,After Weekend,Monday,1,16,2017
1/20/17,Before Weekend,Friday,1,20,2017
1/23/17,After Weekend,Monday,1,23,2017
1/27/17,Before Weekend,Friday,1,27,2017
1/30/17,After Weekend,Monday,1,30,2017
2/3/17,Before Weekend,Friday,2,3,2017
2/6/17,After Weekend,Monday,2,6,2017
2/10/17,Before Weekend,Friday,2,10,2017
2/13/17,After Weekend,Monday,2,13,2017
2/17/17,Before Weekend,Friday,2,17,2017
2/20/17,After Weekend,Monday,2,20,2017
2/24/17,Before Weekend,Friday,2,24,2017
2/27/17,After Weekend,Monday,2,27,2017
3/3/17,Before Weekend,Friday,3,3,2017
3/6/17,After Weekend,Monday,3,6,2017
3/10/17,Before Weekend,Friday,3,10,2017
3/13/17,After Weekend,Monday,3,13,2017
3/17/17,Before Weekend,Friday,3,17,2017
3/20/17,After Weekend,Monday,3,20,2017
3/24/17,Before Weekend,Friday,3,24,2017
3/27/17,After Weekend,Monday,3,27,2017
3/31/17,Before Weekend,Friday,3,31,2017
4/3/17,After Weekend,Monday,4,3,2017
4/7/17,Before Weekend,Friday,4,7,2017
4/10/17,After Weekend,Monday,4,10,2017
4/14/17,Before Weekend,Friday,4,14,2017
4/17/17,After Weekend,Monday,4,17,2017
4/21/17,Before Weekend,Friday,4,21,2017
4/24/17,After Weekend,Monday,4,24,2017
4/28/17,Before Weekend,Friday,4,28,2017
5/1/17,After Weekend,Monday,5,1,2017
5/5/17,Before Weekend,Friday,5,5,2017
5/8/17,After Weekend,Monday,5,8,2017
5/12/17,Before Weekend,Friday,5,12,2017
5/15/17,After Weekend,Monday,5,15,2017
5/19/17,Before Weekend,Friday,5,19,2017
5/22/17,After Weekend,Monday,5,22,2017
5/26/17,Before Weekend,Friday,5,26,2017
5/29/17,After Weekend,Monday,5,29,2017
6/2/17,Before Weekend,Friday,6,2,2017
6/5/17,After Weekend,Monday,6,5,2017
6/9/17,Before Weekend,Friday,6,9,2017
6/12/17,After Weekend,Monday,6,12,2017
6/16/17,Before Weekend,Friday,6,16,2017
6/19/17,After Weekend,Monday,6,19,2017
6/23/17,Before Weekend,Friday,6,23,2017
6/26/17,After Weekend,Monday,6,26,2017
6/30/17,Before Weekend,Friday,6,30,2017
7/3/17,After Weekend,Monday,7,3,2017
7/7/17,Before Weekend,Friday,7,7,2017
7/10/17,After Weekend,Monday,7,10,2017
7/14/17,Before Weekend,Friday,7,14,2017
7/17/17,After Weekend,Monday,7,17,2017
7/21/17,Before Weekend,Friday,7,21,2017
7/24/17,After Weekend,Monday,7,24,2017
7/28/17,Before Weekend,Friday,7,28,2017
7/31/17,After Weekend,Monday,7,31,2017
8/4/17,Before Weekend,Friday,8,4,2017
8/7/17,After Weekend,Monday,8,7,2017
8/11/17,Before Weekend,Friday,8,11,2017
8/14/17,After Weekend,Monday,8,14,2017
8/18/17,Before Weekend,Friday,8,18,2017
8/21/17,After Weekend,Monday,8,21,2017
8/25/17,Before Weekend,Friday,8,25,2017
8/28/17,After Weekend,Monday,8,28,2017
9/1/17,Before Weekend,Friday,9,1,2017
9/4/17,After Weekend,Monday,9,4,2017
9/8/17,Before Weekend,Friday,9,8,2017
9/11/17,After Weekend,Monday,9,11,2017
9/15/17,Before Weekend,Friday,9,15,2017
9/18/17,After Weekend,Monday,9,18,2017
9/22/17,Before Weekend,Friday,9,22,2017
9/25/17,After Weekend,Monday,9,25,2017
9/29/17,Before Weekend,Friday,9,29,2017
10/2/17,After Weekend,Monday,10,2,2017
10/6/17,Before Weekend,Friday,10,6,2017
10/9/17,After Weekend,Monday,10,9,2017
10/13/17,Before Weekend,Friday,10,13,2017
10/16/17,After Weekend,Monday,10,16,2017
10/20/17,Before Weekend,Friday,10,20,2017
10/23/17,After Weekend,Monday,10,23,2017
10/27/17,Before Weekend,Friday,10,27,2017
10/30/17,After Weekend,Monday,10,30,2017
11/3/17,Before Weekend,Friday,11,3,2017
11/6/17,After Weekend,Monday,11,6,2017
11/10/17,Before Weekend,Friday,11,10,2017
11/13/17,After Weekend,Monday,11,13,2017
11/17/17,Before Weekend,Friday,11,17,2017
11/20/17,After Weekend,Monday,11,20,2017
11/24/17,Before Weekend,Friday,11,24,2017
11/27/17,After Weekend,Monday,11,27,2017
12/1/17,Before Weekend,Friday,12,1,2017
12/4/17,After Weekend,Monday,12,4,2017
12/8/17,Before Weekend,Friday,12,8,2017
12/11/17,After Weekend,Monday,12,11,2017
12/15/17,Before Weekend,Friday,12,15,2017
12/18/17,After Weekend,Monday,12,18,2017
12/22/17,Before Weekend,Friday,12,22,2017
12/25/17,After Weekend,Monday,12,25,2017
12/29/17,Before Weekend,Friday,12,29,2017
1/1/18,After Weekend,Monday,1,1,2018
1/5/18,Before Weekend,Friday,1,5,2018
1/8/18,After Weekend,Monday,1,8,2018
1/12/18,Before Weekend,Friday,1,12,2018
1/15/18,After Weekend,Monday,1,15,2018
1/19/18,Before Weekend,Friday,1,19,2018
1/22/18,After Weekend,Monday,1,22,2018
1/26/18,Before Weekend,Friday,1,26,2018
1/29/18,After Weekend,Monday,1,29,2018
2/2/18,Before Weekend,Friday,2,2,2018
2/5/18,After Weekend,Monday,2,5,2018
2/9/18,Before Weekend,Friday,2,9,2018
2/12/18,After Weekend,Monday,2,12,2018
2/16/18,Before Weekend,Friday,2,16,2018
2/19/18,After Weekend,Monday,2,19,2018
2/23/18,Before Weekend,Friday,2,23,2018
2/26/18,After Weekend,Monday,2,26,2018
3/2/18,Before Weekend,Friday,3,2,2018
3/5/18,After Weekend,Monday,3,5,2018
3/9/18,Before Weekend,Friday,3,9,2018
3/12/18,After Weekend,Monday,3,12,2018
3/16/18,Before Weekend,Friday,3,16,2018
3/19/18,After Weekend,Monday,3,19,2018
3/23/18,Before Weekend,Friday,3,23,2018
3/26/18,After Weekend,Monday,3,26,2018
3/30/18,Before Weekend,Friday,3,30,2018
4/2/18,After Weekend,Monday,4,2,2018
4/6/18,Before Weekend,Friday,4,6,2018
4/9/18,After Weekend,Monday,4,9,2018
4/13/18,Before Weekend,Friday,4,13,2018
4/16/18,After Weekend,Monday,4,16,2018
4/20/18,Before Weekend,Friday,4,20,2018
4/23/18,After Weekend,Monday,4,23,2018
4/27/18,Before Weekend,Friday,4,27,2018
4/30/18,After Weekend,Monday,4,30,2018
5/4/18,Before Weekend,Friday,5,4,2018
5/7/18,After Weekend,Monday,5,7,2018
5/11/18,Before Weekend,Friday,5,11,2018
5/14/18,After Weekend,Monday,5,14,2018
5/18/18,Before Weekend,Friday,5,18,2018
5/21/18,After Weekend,Monday,5,21,2018
5/25/18,Before Weekend,Friday,5,25,2018
5/28/18,After Weekend,Monday,5,28,2018
6/1/18,Before Weekend,Friday,6,1,2018
6/4/18,After Weekend,Monday,6,4,2018
6/8/18,Before Weekend,Friday,6,8,2018
6/11/18,After Weekend,Monday,6,11,2018
6/15/18,Before Weekend,Friday,6,15,2018
6/18/18,After Weekend,Monday,6,18,2018
6/22/18,Before Weekend,Friday,6,22,2018
6/25/18,After Weekend,Monday,6,25,2018
6/29/18,Before Weekend,Friday,6,29,2018
7/2/18,After Weekend,Monday,7,2,2018
7/6/18,Before Weekend,Friday,7,6,2018
7/9/18,After Weekend,Monday,7,9,2018
7/13/18,Before Weekend,Friday,7,13,2018
7/16/18,After Weekend,Monday,7,16,2018
7/20/18,Before Weekend,Friday,7,20,2018
7/23/18,After Weekend,Monday,7,23,2018
7/27/18,Before Weekend,Friday,7,27,2018
7/30/18,After Weekend,Monday,7,30,2018
8/3/18,Before Weekend,Friday,8,3,2018
8/6/18,After Weekend,Monday,8,6,2018
8/10/18,Before Weekend,Friday,8,10,2018
8/13/18,After Weekend,Monday,8,13,2018
8/17/18,Before Weekend,Friday,8,17,2018
8/20/18,After Weekend,Monday,8,20,2018
8/24/18,Before Weekend,Friday,8,24,2018
8/27/18,After Weekend,Monday,8,27,2018
8/31/18,Before Weekend,Friday,8,31,2018
9/3/18,After Weekend,Monday,9,3,2018
9/7/18,Before Weekend,Friday,9,7,2018
9/10/18,After Weekend,Monday,9,10,2018
9/14/18,Before Weekend,Friday,9,14,2018
9/17/18,After Weekend,Monday,9,17,2018
9/21/18,Before Weekend,Friday,9,21,2018
9/24/18,After Weekend,Monday,9,24,2018
9/28/18,Before Weekend,Friday,9,28,2018
10/1/18,After Weekend,Monday,10,1,2018
10/5/18,Before Weekend,Friday,10,5,2018
10/8/18,After Weekend,Monday,10,8,2018
10/12/18,Before Weekend,Friday,10,12,2018
10/15/18,After Weekend,Monday,10,15,2018
10/19/18,Before Weekend,Friday,10,19,2018
10/22/18,After Weekend,Monday,10,22,2018
10/26/18,Before Weekend,Friday,10,26,2018
10/29/18,After Weekend,Monday,10,29,2018
11/2/18,Before Weekend,Friday,11,2,2018
11/5/18,After Weekend,Monday,11,5,2018
11/9/18,Before Weekend,Friday,11,9,2018
11/12/18,After Weekend,Monday,11,12,2018
11/16/18,Before Weekend,Friday,11,16,2018
11/19/18,After Weekend,Monday,11,19,2018
11/23/18,Before Weekend,Friday,11,23,2018
11/26/18,After Weekend,Monday,11,26,2018
11/30/18,Before Weekend,Friday,11,30,2018
12/3/18,After Weekend,Monday,12,3,2018
12/7/18,Before Weekend,Friday,12,7,2018
12/10/18,After Weekend,Monday,12,10,2018
12/14/18,Before Weekend,Friday,12,14,2018
12/17/18,After Weekend,Monday,12,17,2018
12/21/18,Before Weekend,Friday,12,21,2018
12/24/18,After Weekend,Monday,12,24,2018
12/28/18,Before Weekend,Friday,12,28,2018
12/31/18,After Weekend,Monday,12,31,2018
1/4/19,Before Weekend,Friday,1,4,2019
1/7/19,After Weekend,Monday,1,7,2019
1/11/19,Before Weekend,Friday,1,11,2019
1/14/19,After Weekend,Monday,1,14,2019
1/18/19,Before Weekend,Friday,1,18,2019
1/21/19,After Weekend,Monday,1,21,2019
1/25/19,Before Weekend,Friday,1,25,2019
1/28/19,After Weekend,Monday,1,28,2019
2/1/19,Before Weekend,Friday,2,1,2019
2/4/19,After Weekend,Monday,2,4,2019
2/8/19,Before Weekend,Friday,2,8,2019
2/11/19,After Weekend,Monday,2,11,2019
2/15/19,Before Weekend,Friday,2,15,2019
2/18/19,After Weekend,Monday,2,18,2019
2/22/19,Before Weekend,Friday,2,22,2019
2/25/19,After Weekend,Monday,2,25,2019
3/1/19,Before Weekend,Friday,3,1,2019
3/4/19,After Weekend,Monday,3,4,2019
3/8/19,Before Weekend,Friday,3,8,2019
3/11/19,After Weekend,Monday,3,11,2019
3/15/19,Before Weekend,Friday,3,15,2019
3/18/19,After Weekend,Monday,3,18,2019
3/22/19,Before Weekend,Friday,3,22,2019
3/25/19,After Weekend,Monday,3,25,2019
3/29/19,Before Weekend,Friday,3,29,2019
4/1/19,After Weekend,Monday,4,1,2019
4/5/19,Before Weekend,Friday,4,5,2019
4/8/19,After Weekend,Monday,4,8,2019
4/12/19,Before Weekend,Friday,4,12,2019
4/15/19,After Weekend,Monday,4,15,2019
4/19/19,Before Weekend,Friday,4,19,2019
4/22/19,After Weekend,Monday,4,22,2019
4/26/19,Before Weekend,Friday,4,26,2019
4/29/19,After Weekend,Monday,4,29,2019
5/3/19,Before Weekend,Friday,5,3,2019
5/6/19,After Weekend,Monday,5,6,2019
5/10/19,Before Weekend,Friday,5,10,2019
5/13/19,After Weekend,Monday,5,13,2019
5/17/19,Before Weekend,Friday,5,17,2019
5/20/19,After Weekend,Monday,5,20,2019
5/24/19,Before Weekend,Friday,5,24,2019
5/27/19,After Weekend,Monday,5,27,2019
5/31/19,Before Weekend,Friday,5,31,2019
6/3/19,After Weekend,Monday,6,3,2019
6/7/19,Before Weekend,Friday,6,7,2019
6/10/19,After Weekend,Monday,6,10,2019
6/14/19,Before Weekend,Friday,6,14,2019
6/17/19,After Weekend,Monday,6,17,2019
6/21/19,Before Weekend,Friday,6,21,2019
6/24/19,After Weekend,Monday,6,24,2019
6/28/19,Before Weekend,Friday,6,28,2019
7/1/19,After Weekend,Monday,7,1,2019
7/5/19,Before Weekend,Friday,7,5,2019
7/8/19,After Weekend,Monday,7,8,2019
7/12/19,Before Weekend,Friday,7,12,2019
7/15/19,After Weekend,Monday,7,15,2019
7/19/19,Before Weekend,Friday,7,19,2019
7/22/19,After Weekend,Monday,7,22,2019
7/26/19,Before Weekend,Friday,7,26,2019
7/29/19,After Weekend,Monday,7,29,2019
8/2/19,Before Weekend,Friday,8,2,2019
8/5/19,After Weekend,Monday,8,5,2019
8/9/19,Before Weekend,Friday,8,9,2019
8/12/19,After Weekend,Monday,8,12,2019
8/16/19,Before Weekend,Friday,8,16,2019
8/19/19,After Weekend,Monday,8,19,2019
8/23/19,Before Weekend,Friday,8,23,2019
8/26/19,After Weekend,Monday,8,26,2019
8/30/19,Before Weekend,Friday,8,30,2019
9/2/19,After Weekend,Monday,9,2,2019
9/6/19,Before Weekend,Friday,9,6,2019
9/9/19,After Weekend,Monday,9,9,2019
9/13/19,Before Weekend,Friday,9,13,2019
9/16/19,After Weekend,Monday,9,16,2019
9/20/19,Before Weekend,Friday,9,20,2019
9/23/19,After Weekend,Monday,9,23,2019
9/27/19,Before Weekend,Friday,9,27,2019
9/30/19,After Weekend,Monday,9,30,2019
10/4/19,Before Weekend,Friday,10,4,2019
10/7/19,After Weekend,Monday,10,7,2019
10/11/19,Before Weekend,Friday,10,11,2019
10/14/19,After Weekend,Monday,10,14,2019
10/18/19,Before Weekend,Friday,10,18,2019
10/21/19,After Weekend,Monday,10,21,2019
10/25/19,Before Weekend,Friday,10,25,2019
10/28/19,After Weekend,Monday,10,28,2019
11/1/19,Before Weekend,Friday,11,1,2019
11/4/19,After Weekend,Monday,11,4,2019
11/8/19,Before Weekend,Friday,11,8,2019
11/11/19,After Weekend,Monday,11,11,2019
11/15/19,Before Weekend,Friday,11,15,2019
11/18/19,After Weekend,Monday,11,18,2019
11/22/19,Before Weekend,Friday,11,22,2019
11/25/19,After Weekend,Monday,11,25,2019
11/29/19,Before Weekend,Friday,11,29,2019
12/2/19,After Weekend,Monday,12,2,2019
12/6/19,Before Weekend,Friday,12,6,2019
12/9/19,After Weekend,Monday,12,9,2019
12/13/19,Before Weekend,Friday,12,13,2019
12/16/19,After Weekend,Monday,12,16,2019
12/20/19,Before Weekend,Friday,12,20,2019
12/23/19,After Weekend,Monday,12,23,2019
12/27/19,Before Weekend,Friday,12,27,2019
12/30/19,After Weekend,Monday,12,30,2019
1/3/20,Before Weekend,Friday,1,3,2020
1/6/20,After Weekend,Monday,1,6,2020
1/10/20,Before Weekend,Friday,1,10,2020
1/13/20,After Weekend,Monday,1,13,2020
1/17/20,Before Weekend,Friday,1,17,2020
1/20/20,After Weekend,Monday,1,20,2020
1/24/20,Before Weekend,Friday,1,24,2020
1/27/20,After Weekend,Monday,1,27,2020
1/31/20,Before Weekend,Friday,1,31,2020
2/3/20,After Weekend,Monday,2,3,2020
2/7/20,Before Weekend,Friday,2,7,2020
2/10/20,After Weekend,Monday,2,10,2020
2/14/20,Before Weekend,Friday,2,14,2020
2/17/20,After Weekend,Monday,2,17,2020
2/21/20,Before Weekend,Friday,2,21,2020
2/24/20,After Weekend,Monday,2,24,2020
2/28/20,Before Weekend,Friday,2,28,2020
3/2/20,After Weekend,Monday,3,2,2020
3/6/20,Before Weekend,Friday,3,6,2020
3/9/20,After Weekend,Monday,3,9,2020
3/13/20,Before Weekend,Friday,3,13,2020
3/16/20,After Weekend,Monday,3,16,2020
3/20/20,Before Weekend,Friday,3,20,2020
3/23/20,After Weekend,Monday,3,23,2020
3/27/20,Before Weekend,Friday,3,27,2020
3/30/20,After Weekend,Monday,3,30,2020
4/3/20,Before Weekend,Friday,4,3,2020
4/6/20,After Weekend,Monday,4,6,2020
4/10/20,Before Weekend,Friday,4,10,2020
4/13/20,After Weekend,Monday,4,13,2020
4/17/20,Before Weekend,Friday,4,17,2020
4/20/20,After Weekend,Monday,4,20,2020
4/24/20,Before Weekend,Friday,4,24,2020
4/27/20,After Weekend,Monday,4,27,2020
5/1/20,Before Weekend,Friday,5,1,2020
5/4/20,After Weekend,Monday,5,4,2020
5/8/20,Before Weekend,Friday,5,8,2020
5/11/20,After Weekend,Monday,5,11,2020
5/15/20,Before Weekend,Friday,5,15,2020
