"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-31","2.01","0.00","0.0","20.1","16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-01","0.67","0.00","0.0","20.1","2"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-02","0.67","0.00","0.0","20.1","-1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-03","0.89","0.00","0.0","20.1","3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-04","0.22","0.00","0.0","20.1","4"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-05","0.67","0.00","0.0","20.1","-3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-06","1.12","0.00","0.0","20.1","3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-07","0.22","0.00","0.0","20.1","0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-08","1.12","0.08","3.4","20.1","10"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-09","0.89","0.02","0.2","22.8","2"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-10","5.37","0.00","0.1","22.0","-1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-11","1.12","0.00","0.0","22.0","-16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-12","1.57","0.00","0.0","22.0","-5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-13","4.03","0.00","0.0","22.0","19"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-14","3.13","0.00","0.0","20.9","35"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-15","2.91","0.00","0.0","20.9","21"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-16","0.89","0.00","0.0","20.1","23"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-17","1.34","0.00","0.0","20.1","18"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-18","1.12","0.00","0.0","20.1","11"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-19","2.24","0.00","0.2","20.1","6"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-20","3.58","0.01","0.2","20.1","0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-21","2.24","0.00","0.0","20.1","-5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-22","2.68","0.08","3.8","20.1","10"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-23","5.14","0.19","2.8","22.8","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-24","4.47","0.33","3.5","27.2","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-25","10.74","0.43","7.0","28.0","34"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-26","11.18","0.04","0.9","33.9","33"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-27","6.71","0.06","1.0","31.9","27"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-02-28","12.75","0.00","0.2","31.9","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-01","4.25","0.00","0.0","31.1","6"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-02","1.57","0.00","0.0","29.9","-4"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-03","0.22","0.00","0.0","29.9","-5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-04","5.82","0.02","0.6","29.1","10"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-05","3.13","0.00","0.0","29.1","7"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-06","0.67","0.00","0.0","29.1","2"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-07","1.34","0.00","0.0","29.1","-2"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-08","0.00","0.00","0.0","29.1","-3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-09","0.00","0.00","0.0","28.0","4"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-10","0.67","0.05","1.0","28.0","11"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-11","2.46","0.00","0.0","28.0","22"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-12","2.91","0.00","0.0","28.0","15"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-13","1.79","0.00","0.1","28.0","10"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-14","7.61","0.00","0.0","27.2","10"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-15","10.29","0.00","0.0","27.2","7"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-16","5.59","0.00","0.0","27.2","4"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-17","2.68","0.00","0.0","26.0","5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-18","2.68","0.00","0.0","26.0","12"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-19","2.91","0.00","0.0","26.0","14"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-20","1.79","0.00","0.0","26.0","11"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-21","1.57","0.00","0.0","26.0","16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-22","3.58","0.00","0.0","26.0","16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-23","2.46","0.00","0.0","26.0","16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-24","1.34","0.00","0.0","26.0","18"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-25","3.36","0.00","0.0","26.0","24"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-26","3.80","0.00","0.0","26.0","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-27","8.28","0.00","0.0","26.0","30"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-28","2.24","0.00","0.0","26.0","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-29","2.01","0.00","0.0","26.0","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-30","2.01","0.10","1.8","26.0","29"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-03-31","3.13","0.00","0.0","27.2","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-01","2.91","0.00","0.0","25.2","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-02","3.80","0.00","0.0","24.0","45"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-03","5.82","0.00","0.0","22.8","47"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-04","8.95","0.00","0.0","22.0","49"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-05","12.30","0.00","0.0","20.9","44"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-06","10.51","0.04","0.9","20.1","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-07","10.51","0.05","0.3","18.9","31"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-08","6.49","0.00","0.0","18.9","40"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-09","2.91","0.00","0.0","18.1","48"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-10","1.79","0.00","0.0","16.9","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-11","2.91","0.00","0.0","16.9","46"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-12","3.80","0.00","0.0","16.1","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-13","9.62","0.00","0.0","15.0","47"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-14","3.36","0.00","0.0","15.0","50"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-15","11.63","0.00","0.0","13.0","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-16","12.30","0.00","0.0","11.8","36"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-17","10.96","0.00","0.0","11.8","37"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-18","9.40","0.00","0.0","11.8","41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-19","15.43","0.00","0.0","11.0","35"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-20","9.17","0.00","0.0","11.0","42"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-21","8.72","0.00","0.0","11.0","47"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-22","9.40","0.00","0.0","9.8","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-23","8.72","0.00","0.0","9.1","53"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-24","5.82","0.00","0.0","7.1","58"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-25","5.82","0.00","0.0","5.9","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-26","6.04","0.00","0.0","5.1","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-27","6.26","0.00","0.0","0.0","51"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-28","2.24","0.00","0.0","0.0","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-29","3.80","0.00","0.0","0.0","54"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-04-30","5.82","0.00","0.0","0.0","55"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-01","2.24","0.00","0.0","0.0","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-02","5.82","0.00","0.0","0.0","60"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-03","6.71","0.00","0.0","0.0","52"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-04","4.25","0.01","0.0","0.0","58"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-05","3.80","0.00","0.0","0.0","56"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-06","4.70","0.00","0.0","0.0","66"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-07","5.59","0.00","0.0","0.0","67"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-08","6.26","0.00","0.0","0.0","62"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-09","1.57","0.12","0.0","0.0","63"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-10","3.13","0.00","0.0","0.0","61"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-11","5.37","0.00","0.0","0.0","66"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-12","5.59","0.00","0.0","0.0","66"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-13","5.82","0.00","0.0","0.0","62"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-14","6.49","0.00","0.0","0.0","62"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-15","2.91","0.08","0.0","0.0","68"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-16","2.46","0.00","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-17","4.92","0.00","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-18","6.04","0.00","0.0","0.0","65"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-19","3.80","0.00","0.0","0.0","61"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-20","3.80","0.00","0.0","0.0","63"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-21","3.36","0.00","0.0","0.0","65"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-22","6.49","0.27","0.0","0.0","55"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-23","7.61","0.00","0.0","0.0","58"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-24","6.49","0.02","0.0","0.0","62"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-25","7.16","0.04","0.0","0.0","53"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-26","4.47","0.01","0.0","0.0","55"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-27","4.92","0.00","0.0","0.0","58"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-28","6.49","0.00","0.0","0.0","65"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-29","5.82","0.01","0.0","0.0","64"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-30","4.70","0.03","0.0","0.0","60"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-05-31","2.91","0.00","0.0","0.0","66"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-01","6.71","0.00","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-02","8.72","0.00","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-03","7.38","0.00","0.0","0.0","74"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-04","7.61","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-05","4.70","0.00","0.0","0.0","74"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-06","4.47","0.00","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-07","9.17","0.00","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-08","10.74","0.00","0.0","0.0","82"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-09","6.71","0.00","0.0","0.0","90"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-10","7.16","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-11","3.80","1.03","0.0","0.0","61"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-12","4.47","0.26","0.0","0.0","61"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-13","8.50","0.00","0.0","0.0","63"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-14","4.92","0.00","0.0","0.0","70"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-15","3.36","0.00","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-16","5.82","0.12","0.0","0.0","68"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-17","8.05","0.02","0.0","0.0","65"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-18","4.92","0.17","0.0","0.0","70"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-19","4.03","0.06","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-20","3.58","0.00","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-21","5.82","0.00","0.0","0.0","74"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-22","3.80","0.01","0.0","0.0","78"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-23","5.14","0.06","0.0","0.0","73"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-24","4.70","0.00","0.0","0.0","74"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-25","4.25","0.00","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-26","4.25","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-27","3.80","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-28","3.80","0.00","0.0","0.0","75"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-29","3.80","0.00","0.0","0.0","80"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-06-30","4.92","0.00","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-01","3.80","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-02","3.80","0.83","0.0","0.0","69"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-03","2.68","0.09","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-04","3.36","0.00","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-05","1.34","0.00","0.0","0.0","80"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-06","2.68","0.00","0.0","0.0","86"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-07","6.49","0.14","0.0","0.0","80"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-08","3.36","0.04","0.0","0.0","81"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-09","4.03","0.01","0.0","0.0","73"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-10","3.80","0.23","0.0","0.0","66"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-11","2.91","0.06","0.0","0.0","65"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-12","2.01","0.00","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-13","2.01","0.02","0.0","0.0","78"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-14","2.68","0.00","0.0","0.0","83"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-15","6.26","0.00","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-16","6.26","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-17","2.68","0.00","0.0","0.0","78"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-18","2.91","0.00","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-19","4.47","0.00","0.0","0.0","81"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-20","7.16","0.01","0.0","0.0","77"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-21","2.68","0.08","0.0","0.0","72"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-22","3.80","0.00","0.0","0.0","78"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-23","7.16","0.08","0.0","0.0","81"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-24","7.38","0.17","0.0","0.0","62"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-25","3.58","0.00","0.0","0.0","66"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-26","3.80","0.00","0.0","0.0","75"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-27","4.25","0.00","0.0","0.0","75"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-28","3.36","0.10","0.0","0.0","75"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-29","3.13","0.08","0.0","0.0","75"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-30","2.01","0.00","0.0","0.0","80"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-07-31","5.37","0.00","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-01","2.24","0.02","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-02","2.46","0.16","0.0","0.0","59"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-03","2.68","0.04","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-04","1.12","0.00","0.0","0.0","70"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-05","1.34","0.00","0.0","0.0","79"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-06","3.58","0.06","0.0","0.0","83"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-07","2.68","0.01","0.0","0.0","81"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-08","4.03","0.00","0.0","0.0","76"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-09","1.79","0.00","0.0","0.0","82"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-10","5.82","0.00","0.0","0.0","74"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-11","1.34","0.00","0.0","0.0","69"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-12","4.47","0.11","0.0","0.0","71"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-13","4.92","0.50","0.0","0.0","67"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-14","4.25","0.08","0.0","0.0","57"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-08-15","5.14","0.16","0.0","0.0","66"
