Date,Holiday,WeekDay,Month,Day,Year
10/12/2021,After Columbus Day,Tuesday,10,12,2021
11/10/2021,Before Veterans Day,Wednesday,11,10,2021
11/11/2021,Veterans Day,Thursday,11,11,2021
11/12/2021,After Veterans Day,Friday,11,12,2021
11/24/2021,Before Thanksgiving Day,Wednesday,11,24,2021
11/25/2021,Thanksgiving Day,Thursday,11,25,2021
11/26/2021,After Thanksgiving Day,Friday,11,26,2021
12/23/2021,Before Christmas Eve,Thursday,12,23,2021
12/24/2021,Christmas Eve,Friday,12,24,2021
12/25/2021,Christmas Day,Saturday,12,25,2021
12/26/2021,After Christmas Day,Sunday,12,26,2021
12/30/2021,Before New Years Eve,Thursday,12,30,2021
12/31/2021,New Years Eve,Friday,12,31,2021
1/1/2022,New Years Day,Saturday,1,1,2022
1/2/2022,After New Years Day,Sunday,1,2,2022
1/16/2022,Before Martin Luther King,Sunday,1,16,2022
1/17/2022,Martin Luther King,Monday,1,17,2022
1/18/2022,After Martin Luther King,Tuesday,1,18,2022
2/13/2022,Before Valentines Day,Sunday,2,13,2022
2/14/2022,Valentines Day,Monday,2,14,2022
2/15/2022,After Valentines Day,Tuesday,2,15,2022
2/20/2022,Before Washington Birthday,Sunday,2,20,2022
2/21/2022,Washington Birthday,Monday,2,21,2022
2/22/2022,After Washington Birthday,Tuesday,2,22,2022
4/16/2022,Before Western Easter,Saturday,4,16,2022
4/17/2022,Western Easter,Sunday,4,17,2022
4/18/2022,After Western Easter,Monday,4,18,2022
4/23/2022,Before Eastern Easter,Saturday,4,23,2022
4/24/2022,Eastern Easter,Sunday,4,24,2022
4/25/2022,After Eastern Easter,Monday,4,25,2022
5/29/2022,Before Memorial Day,Sunday,5,29,2022
5/30/2022,Memorial Day,Monday,5,30,2022
5/31/2022,After Memorial Day,Tuesday,5,31,2022
6/19/2022,Before Juneteenth,Sunday,6,19,2022
6/20/2022,Juneteenth,Monday,6,20,2022
6/21/2022,After Juneteenth,Tuesday,6,21,2022
7/3/2022,Before 4th of July,Sunday,7,3,2022
7/4/2022,4th of July,Monday,7,4,2022
7/5/2022,After 4th of July,Tuesday,7,5,2022
9/4/2022,Before Labor Day,Sunday,9,4,2022
9/5/2022,Labor Day,Monday,9,5,2022
9/6/2022,After Labor Day,Tuesday,9,6,2022
10/9/2022,Before Columbus Day,Sunday,10,9,2022
10/10/2022,Columbus Day,Monday,10,10,2022
10/11/2022,After Columbus Day,Tuesday,10,11,2022
11/10/2022,Before Veterans Day,Thursday,11,10,2022
11/11/2022,Veterans Day,Friday,11,11,2022
11/12/2022,After Veterans Day,Saturday,11,12,2022
11/23/2022,Before Thanksgiving Day,Wednesday,11,23,2022
11/24/2022,Thanksgiving Day,Thursday,11,24,2022
11/25/2022,After Thanksgiving Day,Friday,11,25,2022
12/23/2022,Before Christmas Eve,Friday,12,23,2022
12/24/2022,Christmas Eve,Saturday,12,24,2022
12/25/2022,Christmas Day,Sunday,12,25,2022
12/26/2022,After Christmas Day,Monday,12,26,2022
12/30/2022,Before New Years Eve,Friday,12,30,2022
12/31/2022,New Years Eve,Saturday,12,31,2022
1/1/2023,New Years Day,Sunday,1,1,2023
1/2/2023,After New Years Day,Monday,1,2,2023
1/15/2023,Before Martin Luther King,Sunday,1,15,2023
1/16/2023,Martin Luther King,Monday,1,16,2023
1/17/2023,After Martin Luther King,Tuesday,1,17,2023
2/13/2023,Before Valentines Day,Monday,2,13,2023
2/14/2023,Valentines Day,Tuesday,2,14,2023
2/15/2023,After Valentines Day,Wednesday,2,15,2023
2/19/2023,Before Washington Birthday,Sunday,2,19,2023
2/20/2023,Washington Birthday,Monday,2,20,2023
2/21/2023,After Washington Birthday,Tuesday,2,21,2023
4/8/2023,Before Western Easter,Saturday,4,8,2023
4/9/2023,Western Easter,Sunday,4,9,2023
4/10/2023,After Western Easter,Monday,4,10,2023
4/15/2023,Before Eastern Easter,Saturday,4,15,2023
4/16/2023,Eastern Easter,Sunday,4,16,2023
4/17/2023,After Eastern Easter,Monday,4,17,2023
5/28/2023,Before Memorial Day,Sunday,5,28,2023
5/29/2023,Memorial Day,Monday,5,29,2023
5/30/2023,After Memorial Day,Tuesday,5,30,2023
6/18/2023,Before Juneteenth,Sunday,6,18,2023
6/19/2023,Juneteenth,Monday,6,19,2023
6/20/2023,After Juneteenth,Tuesday,6,20,2023
7/3/2023,Before 4th of July,Monday,7,3,2023
7/4/2023,4th of July,Tuesday,7,4,2023
7/5/2023,After 4th of July,Wednesday,7,5,2023
9/3/2023,Before Labor Day,Sunday,9,3,2023
9/4/2023,Labor Day,Monday,9,4,2023
9/5/2023,After Labor Day,Tuesday,9,5,2023
10/8/2023,Before Columbus Day,Sunday,10,8,2023
10/9/2023,Columbus Day,Monday,10,9,2023
10/10/2023,After Columbus Day,Tuesday,10,10,2023
11/9/2023,Before Veterans Day,Thursday,11,9,2023
11/10/2023,Veterans Day,Friday,11,10,2023
11/11/2023,After Veterans Day,Saturday,11,11,2023
11/22/2023,Before Thanksgiving Day,Wednesday,11,22,2023
11/23/2023,Thanksgiving Day,Thursday,11,23,2023
11/24/2023,After Thanksgiving Day,Friday,11,24,2023
12/23/2023,Before Christmas Eve,Saturday,12,23,2023
12/24/2023,Christmas Eve,Sunday,12,24,2023
12/25/2023,Christmas Day,Monday,12,25,2023
12/26/2023,After Christmas Day,Tuesday,12,26,2023
12/30/2023,Before New Years Eve,Saturday,12,30,2023
12/31/2023,New Years Eve,Sunday,12,31,2023
1/2/2017,After Weekend,Monday,1,2,2017
1/6/2017,Before Weekend,Friday,1,6,2017
1/9/2017,After Weekend,Monday,1,9,2017
1/13/2017,Before Weekend,Friday,1,13,2017
1/16/2017,After Weekend,Monday,1,16,2017
1/20/2017,Before Weekend,Friday,1,20,2017
1/23/2017,After Weekend,Monday,1,23,2017
1/27/2017,Before Weekend,Friday,1,27,2017
1/30/2017,After Weekend,Monday,1,30,2017
2/3/2017,Before Weekend,Friday,2,3,2017
2/6/2017,After Weekend,Monday,2,6,2017
2/10/2017,Before Weekend,Friday,2,10,2017
2/13/2017,After Weekend,Monday,2,13,2017
2/17/2017,Before Weekend,Friday,2,17,2017
2/20/2017,After Weekend,Monday,2,20,2017
2/24/2017,Before Weekend,Friday,2,24,2017
2/27/2017,After Weekend,Monday,2,27,2017
3/3/2017,Before Weekend,Friday,3,3,2017
3/6/2017,After Weekend,Monday,3,6,2017
3/10/2017,Before Weekend,Friday,3,10,2017
3/13/2017,After Weekend,Monday,3,13,2017
3/17/2017,Before Weekend,Friday,3,17,2017
3/20/2017,After Weekend,Monday,3,20,2017
3/24/2017,Before Weekend,Friday,3,24,2017
3/27/2017,After Weekend,Monday,3,27,2017
3/31/2017,Before Weekend,Friday,3,31,2017
4/3/2017,After Weekend,Monday,4,3,2017
4/7/2017,Before Weekend,Friday,4,7,2017
4/10/2017,After Weekend,Monday,4,10,2017
4/14/2017,Before Weekend,Friday,4,14,2017
4/17/2017,After Weekend,Monday,4,17,2017
4/21/2017,Before Weekend,Friday,4,21,2017
4/24/2017,After Weekend,Monday,4,24,2017
4/28/2017,Before Weekend,Friday,4,28,2017
5/1/2017,After Weekend,Monday,5,1,2017
5/5/2017,Before Weekend,Friday,5,5,2017
5/8/2017,After Weekend,Monday,5,8,2017
5/12/2017,Before Weekend,Friday,5,12,2017
5/15/2017,After Weekend,Monday,5,15,2017
5/19/2017,Before Weekend,Friday,5,19,2017
5/22/2017,After Weekend,Monday,5,22,2017
5/26/2017,Before Weekend,Friday,5,26,2017
5/29/2017,After Weekend,Monday,5,29,2017
6/2/2017,Before Weekend,Friday,6,2,2017
6/5/2017,After Weekend,Monday,6,5,2017
6/9/2017,Before Weekend,Friday,6,9,2017
6/12/2017,After Weekend,Monday,6,12,2017
6/16/2017,Before Weekend,Friday,6,16,2017
6/19/2017,After Weekend,Monday,6,19,2017
6/23/2017,Before Weekend,Friday,6,23,2017
6/26/2017,After Weekend,Monday,6,26,2017
6/30/2017,Before Weekend,Friday,6,30,2017
7/3/2017,After Weekend,Monday,7,3,2017
7/7/2017,Before Weekend,Friday,7,7,2017
7/10/2017,After Weekend,Monday,7,10,2017
7/14/2017,Before Weekend,Friday,7,14,2017
7/17/2017,After Weekend,Monday,7,17,2017
7/21/2017,Before Weekend,Friday,7,21,2017
7/24/2017,After Weekend,Monday,7,24,2017
7/28/2017,Before Weekend,Friday,7,28,2017
7/31/2017,After Weekend,Monday,7,31,2017
8/4/2017,Before Weekend,Friday,8,4,2017
8/7/2017,After Weekend,Monday,8,7,2017
8/11/2017,Before Weekend,Friday,8,11,2017
8/14/2017,After Weekend,Monday,8,14,2017
8/18/2017,Before Weekend,Friday,8,18,2017
8/21/2017,After Weekend,Monday,8,21,2017
8/25/2017,Before Weekend,Friday,8,25,2017
8/28/2017,After Weekend,Monday,8,28,2017
9/1/2017,Before Weekend,Friday,9,1,2017
9/4/2017,After Weekend,Monday,9,4,2017
9/8/2017,Before Weekend,Friday,9,8,2017
9/11/2017,After Weekend,Monday,9,11,2017
9/15/2017,Before Weekend,Friday,9,15,2017
9/18/2017,After Weekend,Monday,9,18,2017
9/22/2017,Before Weekend,Friday,9,22,2017
9/25/2017,After Weekend,Monday,9,25,2017
9/29/2017,Before Weekend,Friday,9,29,2017
10/2/2017,After Weekend,Monday,10,2,2017
10/6/2017,Before Weekend,Friday,10,6,2017
10/9/2017,After Weekend,Monday,10,9,2017
10/13/2017,Before Weekend,Friday,10,13,2017
10/16/2017,After Weekend,Monday,10,16,2017
10/20/2017,Before Weekend,Friday,10,20,2017
10/23/2017,After Weekend,Monday,10,23,2017
10/27/2017,Before Weekend,Friday,10,27,2017
10/30/2017,After Weekend,Monday,10,30,2017
11/3/2017,Before Weekend,Friday,11,3,2017
11/6/2017,After Weekend,Monday,11,6,2017
11/10/2017,Before Weekend,Friday,11,10,2017
11/13/2017,After Weekend,Monday,11,13,2017
11/17/2017,Before Weekend,Friday,11,17,2017
11/20/2017,After Weekend,Monday,11,20,2017
11/24/2017,Before Weekend,Friday,11,24,2017
11/27/2017,After Weekend,Monday,11,27,2017
12/1/2017,Before Weekend,Friday,12,1,2017
12/4/2017,After Weekend,Monday,12,4,2017
12/8/2017,Before Weekend,Friday,12,8,2017
12/11/2017,After Weekend,Monday,12,11,2017
12/15/2017,Before Weekend,Friday,12,15,2017
12/18/2017,After Weekend,Monday,12,18,2017
12/22/2017,Before Weekend,Friday,12,22,2017
12/25/2017,After Weekend,Monday,12,25,2017
12/29/2017,Before Weekend,Friday,12,29,2017
1/1/2018,After Weekend,Monday,1,1,2018
1/5/2018,Before Weekend,Friday,1,5,2018
1/8/2018,After Weekend,Monday,1,8,2018
1/12/2018,Before Weekend,Friday,1,12,2018
1/15/2018,After Weekend,Monday,1,15,2018
1/19/2018,Before Weekend,Friday,1,19,2018
1/22/2018,After Weekend,Monday,1,22,2018
1/26/2018,Before Weekend,Friday,1,26,2018
1/29/2018,After Weekend,Monday,1,29,2018
2/2/2018,Before Weekend,Friday,2,2,2018
2/5/2018,After Weekend,Monday,2,5,2018
2/9/2018,Before Weekend,Friday,2,9,2018
2/12/2018,After Weekend,Monday,2,12,2018
2/16/2018,Before Weekend,Friday,2,16,2018
2/19/2018,After Weekend,Monday,2,19,2018
2/23/2018,Before Weekend,Friday,2,23,2018
2/26/2018,After Weekend,Monday,2,26,2018
3/2/2018,Before Weekend,Friday,3,2,2018
3/5/2018,After Weekend,Monday,3,5,2018
3/9/2018,Before Weekend,Friday,3,9,2018
3/12/2018,After Weekend,Monday,3,12,2018
3/16/2018,Before Weekend,Friday,3,16,2018
3/19/2018,After Weekend,Monday,3,19,2018
3/23/2018,Before Weekend,Friday,3,23,2018
3/26/2018,After Weekend,Monday,3,26,2018
3/30/2018,Before Weekend,Friday,3,30,2018
4/2/2018,After Weekend,Monday,4,2,2018
4/6/2018,Before Weekend,Friday,4,6,2018
4/9/2018,After Weekend,Monday,4,9,2018
4/13/2018,Before Weekend,Friday,4,13,2018
4/16/2018,After Weekend,Monday,4,16,2018
4/20/2018,Before Weekend,Friday,4,20,2018
4/23/2018,After Weekend,Monday,4,23,2018
4/27/2018,Before Weekend,Friday,4,27,2018
4/30/2018,After Weekend,Monday,4,30,2018
5/4/2018,Before Weekend,Friday,5,4,2018
5/7/2018,After Weekend,Monday,5,7,2018
5/11/2018,Before Weekend,Friday,5,11,2018
5/14/2018,After Weekend,Monday,5,14,2018
5/18/2018,Before Weekend,Friday,5,18,2018
5/21/2018,After Weekend,Monday,5,21,2018
5/25/2018,Before Weekend,Friday,5,25,2018
5/28/2018,After Weekend,Monday,5,28,2018
6/1/2018,Before Weekend,Friday,6,1,2018
6/4/2018,After Weekend,Monday,6,4,2018
6/8/2018,Before Weekend,Friday,6,8,2018
6/11/2018,After Weekend,Monday,6,11,2018
6/15/2018,Before Weekend,Friday,6,15,2018
6/18/2018,After Weekend,Monday,6,18,2018
6/22/2018,Before Weekend,Friday,6,22,2018
6/25/2018,After Weekend,Monday,6,25,2018
6/29/2018,Before Weekend,Friday,6,29,2018
7/2/2018,After Weekend,Monday,7,2,2018
7/6/2018,Before Weekend,Friday,7,6,2018
7/9/2018,After Weekend,Monday,7,9,2018
7/13/2018,Before Weekend,Friday,7,13,2018
7/16/2018,After Weekend,Monday,7,16,2018
7/20/2018,Before Weekend,Friday,7,20,2018
7/23/2018,After Weekend,Monday,7,23,2018
7/27/2018,Before Weekend,Friday,7,27,2018
7/30/2018,After Weekend,Monday,7,30,2018
8/3/2018,Before Weekend,Friday,8,3,2018
8/6/2018,After Weekend,Monday,8,6,2018
8/10/2018,Before Weekend,Friday,8,10,2018
8/13/2018,After Weekend,Monday,8,13,2018
8/17/2018,Before Weekend,Friday,8,17,2018
8/20/2018,After Weekend,Monday,8,20,2018
8/24/2018,Before Weekend,Friday,8,24,2018
8/27/2018,After Weekend,Monday,8,27,2018
8/31/2018,Before Weekend,Friday,8,31,2018
9/3/2018,After Weekend,Monday,9,3,2018
9/7/2018,Before Weekend,Friday,9,7,2018
9/10/2018,After Weekend,Monday,9,10,2018
9/14/2018,Before Weekend,Friday,9,14,2018
9/17/2018,After Weekend,Monday,9,17,2018
9/21/2018,Before Weekend,Friday,9,21,2018
9/24/2018,After Weekend,Monday,9,24,2018
9/28/2018,Before Weekend,Friday,9,28,2018
10/1/2018,After Weekend,Monday,10,1,2018
10/5/2018,Before Weekend,Friday,10,5,2018
10/8/2018,After Weekend,Monday,10,8,2018
10/12/2018,Before Weekend,Friday,10,12,2018
10/15/2018,After Weekend,Monday,10,15,2018
10/19/2018,Before Weekend,Friday,10,19,2018
10/22/2018,After Weekend,Monday,10,22,2018
10/26/2018,Before Weekend,Friday,10,26,2018
10/29/2018,After Weekend,Monday,10,29,2018
11/2/2018,Before Weekend,Friday,11,2,2018
11/5/2018,After Weekend,Monday,11,5,2018
11/9/2018,Before Weekend,Friday,11,9,2018
11/12/2018,After Weekend,Monday,11,12,2018
11/16/2018,Before Weekend,Friday,11,16,2018
11/19/2018,After Weekend,Monday,11,19,2018
11/23/2018,Before Weekend,Friday,11,23,2018
11/26/2018,After Weekend,Monday,11,26,2018
11/30/2018,Before Weekend,Friday,11,30,2018
12/3/2018,After Weekend,Monday,12,3,2018
12/7/2018,Before Weekend,Friday,12,7,2018
12/10/2018,After Weekend,Monday,12,10,2018
12/14/2018,Before Weekend,Friday,12,14,2018
12/17/2018,After Weekend,Monday,12,17,2018
12/21/2018,Before Weekend,Friday,12,21,2018
12/24/2018,After Weekend,Monday,12,24,2018
12/28/2018,Before Weekend,Friday,12,28,2018
12/31/2018,After Weekend,Monday,12,31,2018
1/4/2019,Before Weekend,Friday,1,4,2019
1/7/2019,After Weekend,Monday,1,7,2019
1/11/2019,Before Weekend,Friday,1,11,2019
1/14/2019,After Weekend,Monday,1,14,2019
1/18/2019,Before Weekend,Friday,1,18,2019
1/21/2019,After Weekend,Monday,1,21,2019
1/25/2019,Before Weekend,Friday,1,25,2019
1/28/2019,After Weekend,Monday,1,28,2019
2/1/2019,Before Weekend,Friday,2,1,2019
2/4/2019,After Weekend,Monday,2,4,2019
2/8/2019,Before Weekend,Friday,2,8,2019
2/11/2019,After Weekend,Monday,2,11,2019
2/15/2019,Before Weekend,Friday,2,15,2019
2/18/2019,After Weekend,Monday,2,18,2019
2/22/2019,Before Weekend,Friday,2,22,2019
2/25/2019,After Weekend,Monday,2,25,2019
3/1/2019,Before Weekend,Friday,3,1,2019
